SIDO_NM,CCG_NM,lon,lat,n_samples
광주광역시,광산구,126.814905804387,35.1900195317413,97
광주광역시,담양군,126.9853843987,35.3166514212694,17
광주광역시,나주시,126.785983022771,35.0233845658149,32
광주광역시,순천시,127.516779876847,34.9522556281519,78
광주광역시,서구,126.862732867928,35.1468239489196,89
광주광역시,영암군,126.45534947606,34.761544935072,21
광주광역시,동구,126.921823598121,35.1480386691495,45
광주광역시,해남군,126.598926220586,34.5714568441569,24
광주광역시,목포시,126.398194622055,34.8043453794547,73
광주광역시,화순군,126.989750362756,35.0551105421685,21
광주광역시,구례군,127.467363631034,35.2256956769679,15
광주광역시,여수시,127.703229821226,34.7509572611919,104
광주광역시,강진군,126.772094633727,34.6391699308046,17
광주광역시,장성군,126.785030688926,35.3045537999333,16
광주광역시,완도군,126.7479913619,34.318206556175,19
광주광역시,보성군,127.344134443206,34.8402446599123,11
광주광역시,광양시,127.696060070381,34.9441037239446,44
광주광역시,영광군,126.502646371616,35.277280751294,24
광주광역시,진도군,126.263969902049,34.4811624278006,10
광주광역시,신안군,126.125524566759,34.8580651935894,11
광주광역시,장흥군,126.908012673161,34.6791735204663,8
광주광역시,곡성군,127.28979004222,35.2763622949728,9
전라남도,남구,126.901638905657,35.1294625331499,52
전라남도,고흥군,127.286596987691,34.6072499743935,13
전라남도,함평군,126.522637178591,35.0673771608076,7
전라남도,무안군,126.462449777391,34.8131522297347,27
전라남도,북구,126.898028155533,35.1804010448714,116
전라남도,광산구,126.814905804387,35.1900195317413,97
전라남도,담양군,126.9853843987,35.3166514212694,17
전라남도,나주시,126.785983022771,35.0233845658149,32
전라남도,순천시,127.516779876847,34.9522556281519,78
전라남도,서구,126.862732867928,35.1468239489196,89
전라남도,영암군,126.45534947606,34.761544935072,21
전라남도,동구,126.921823598121,35.1480386691495,45
전라남도,해남군,126.598926220586,34.5714568441569,24
전라남도,목포시,126.398194622055,34.8043453794547,73
전라남도,화순군,126.989750362756,35.0551105421685,21
전라남도,구례군,127.467363631034,35.2256956769679,15
전라남도,여수시,127.703229821226,34.7509572611919,104
전라남도,강진군,126.772094633727,34.6391699308046,17
전라남도,장성군,126.785030688926,35.3045537999333,16
전라남도,완도군,126.7479913619,34.318206556175,19
전라남도,보성군,127.344134443206,34.8402446599123,11
전라남도,광양시,127.696060070381,34.9441037239446,44
전라남도,영광군,126.502646371616,35.277280751294,24
전라남도,진도군,126.263969902049,34.4811624278006,10
전라남도,신안군,126.125524566759,34.8580651935894,11
전라남도,장흥군,126.908012673161,34.6791735204663,8
전라남도,곡성군,127.28979004222,35.2763622949728,9
